All,Alla
Root,Rot
"Use Config Settings","Använd konfigurationsinställningarna"
"Use All Available Attributes","Använd alla tillgängliga attribut"
"Add Subcategory","Lägg till underkategori"
"Add Root Category","Lägg till huvud kategori"
Day,Dag
[GLOBAL],[GLOBALT]
"[STORE VIEW]",[BUTIKSVY]
"WYSIWYG Editor",Wysiwyg-redigerare
"Add Product","Lägg till produkt"
label,etikett
"Product Attributes",Produktattribut
"Add New Attribute","Lägg till nytt attribut"
"Save Attribute","Spara attribut"
"Save in New Attribute Set","Spara i ny attribut grupp"
"Enter Name for New Attribute Set","Ange namnet för den nya attribut gruppen"
"Delete Attribute","Ta bort attribut"
"Edit Product Attribute ""%1""","Ändra produkt attribut ""%1"""
"New Product Attribute","Nytt produktattribut"
"Advanced Attribute Properties","Avancerade attribut egenskaper"
"Attribute Code",Attributkod
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Detta används internt. Se till att du inte använder mellanslag eller mer än %1 symboler."
"Default Value",Standardvärde
"Unique Value","Unikt värde"
"Unique Value (not shared with other products)","Unikt värde (Får inte delas med andra produkter)"
"Not shared with other products.","Får inte delas med andra produkter."
"Input Validation for Store Owner","Indata för butiksägaren"
"Add to Column Options","Lägg till kolumnalternativ"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Välj ""Ja"" för att lägga till detta attribut till listan av kolumnval i produkt rutnätet"
"Use in Filter Options","Använd i filteralternativ"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Välj ""Ja"" för att lägga till detta attribut till listan av kolumnval i produkt rutnätet."
Website,Webbplats
Scope,Omfattning
"Declare attribute value saving scope.","Deklarera attributvärdet och spara omfattningen."
"Storefront Properties","Storefront egenskaper"
"Use in Search","Använd i sök"
"Visible in Advanced Search","Synlig i avancerad sök"
"Comparable on Storefront","Jämförbar i frontend"
"Use for Promo Rule Conditions","Använd för kampanjreglernas villkor"
"Allow HTML Tags on Storefront","Tillåt HTML taggar på storefront"
"Visible on Catalog Pages on Storefront","Synliga katalogsidor på storefront"
"Used in Product Listing","Använd i produktlistningen "
"Depends on design theme.","Beror på design temat."
"Used for Sorting in Product Listing","Används för sortering i produktlistan"
"Media Image","Media bild"
Gallery,Galleri
"System Properties","System egenskaper"
"Data Type for Saving in Database","Datatyp för sparandet i databasen"
Datetime,Datumtid
Decimal,Decimaltal
Integer,Heltal
"Globally Editable","Globalt redigerbar"
"Attribute Information","Attributsinformation "
Properties,Egenskaper
"Manage Labels","Hantera märkningar"
Visible,Synlig
Searchable,Sökbar
Comparable,Jämförbar
"Delete Selected Group","Ta bort vald grupp"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Du är påväg att ta bort alla produkter i detta attributset. Är du säker att du vill göra detta?"
"New Set Name","Nytt set namn"
"Edit Attribute Set '%1'","Redigera attributset '%1'"
Empty,Tom
"Add Attribute","Lägg till Attribut"
"Add New Group","Lägg till ny grupp"
"Add Group","Lägg till grupp"
"Edit Attribute Set Name","Redigera attribut set namn"
"For internal use","För internt bruk"
"Based On","Baserat på"
"Add New Attribute Set","Lägg till nytt attributset"
"Add Attribute Set","Lägg till attributset"
"Attribute Sets",Attributsets
"Close Window","Stäng fönster"
"New Product","Ny produkt"
"Save & Edit","Spara & Redigera"
"Save & New","Spara & Ny"
"Save & Duplicate","Spara & Duplicera"
"Save & Close","Spara & stäng"
Change,Ändra
"Advanced Inventory","Avancerad inventering"
Websites,Webbplatser
"Products Information","Produkt information"
"Create Category","Skapa kategori"
"Category Name",Kategorinamn
"Parent Category","Överordnad kategori"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Om det inte finns några anpassade ordnade kategorier, använd standardöverordnade kategorin. Du kan tilldela kategorin när som helst <a href=""%1"" target=""_blank""> Produkter> Kategorier </a>."
"Price Alert Subscriptions","Pris notifiera prenumeranter"
"Stock Alert Subscriptions","Lagersaldo notifiera prenumeranter "
"There are no customers for this alert.","Det finns inga kunder för denna notifiering "
"Subscribe Date","Prenumerationsdatum "
"Last Notified","Senast notifierad "
"New Attribute","Nytt attribut"
"Attribute Set",Attributgrupp
"Add New Option","Lägg till ny egenskap"
"Import Options","Importera egenskaper "
Import,Importera
"Add New Row","Lägg till ny rad"
"Delete Row","Ta bort rad"
"Tier Pricing","Tier prissättning"
"Default Price","Standard pris"
"ALL GROUPS","ALLA GRUPPER"
"Add Price","Lägg till pris"
"Default Values",Standardvärden
"Related Products","Relaterade produkter"
Up-sells,Merförsäljning
Cross-sells,Korsförsäljning
"Size for %1","Storlek för %1"
"Watermark File for %1","Vattenstämpels fil för %1"
"Position of Watermark for %1","Vattenstämpelns position för %1"
"Name in %1","Namn i %1"
"Change Status","Ändra status"
"Update Attributes","Uppdatera attribut"
"start typing to search category","Börja skriva för att söka i kategorin"
"New Category","Ny kategori"
"Add New Images","Lägg till nya bilder"
"Inc. Tax","Inkl. moms"
"Does this have a weight?","Har denna en vikt?"
"Notify Low Stock RSS","Notifikation lågt lagersaldo RSS"
"Low Stock Products","Produkter med lågt lagersaldo"
"%1 has reached a quantity of %2.","%1 har nått ett lagersaldo av %2."
"Go to Home Page","Gå till startsidan"
"Subscribe to RSS Feed","Prenumerera på RSS flöde"
"Products Comparison List","Produkter jämförelselista"
AM,FM
PM,EM
"New Products from %1","Nya produkter från %1"
"New Products","Nya produkter"
"%1 - Special Products","%1 - Reaprodukter"
"Click for price","Klicka för pris"
"Special Expires On: %1","Rean avslutas: %1"
"Price: %1","Pris: %1"
"Special Price: %1","Reapris: %1"
"Special Products",Reaprodukter
"Manage Catalog Categories","Hantera katalogkategorier"
"Manage Categories","Hantera kategorier"
"You deleted the category.","Du tog bort kategorin."
"Something went wrong while trying to delete the category.","Något gick fel när du försökte ta bort kategorin."
Categories,Kategorier
"Category is not available for requested store.","Kategorin finns inte i vald butik."
"There was a category move error.","Det uppstod ett fel vid flytt av kategori."
"You moved the category.","Du flyttade kategorin."
"You saved the category.","Du sparade kategorin."
"Something went wrong while saving the category.","Ett fel uppstod vid sparande av kategorin."
"Please select products for attributes update.","Välj produkter för attribut-uppdatering."
"Please make sure to define SKU values for all processed products.","Kontrollera att alla bearbetade produkter har ett artikelnummer."
"Something went wrong while updating the product(s) attributes.","Något gick fel vid uppdatering av attribut på produkt(er)."
"Unable to add attribute","Det gick inte att lägga till attribut"
"Manage Product Attributes","Hantera produktattribut"
"We can't delete the attribute.","Vi kan inte ta bort attributet."
"You deleted the product attribute.","Du tog bort produktattributet."
"This attribute no longer exists.","Detta attribut finns inte längre."
"This attribute cannot be edited.","Detta attribut kan inte redigeras."
"Edit Product Attribute","Redigera produktattribut"
"An attribute set named '%1' already exists.","Ett attribut som heter '%1' finns redan."
"Something went wrong while saving the attribute.","Något gick fel när attributet sparades."
"We can't update the attribute.","Vi kan inte uppdatera attributet."
"You saved the product attribute.","Du sparade produktens attribut."
"An attribute with this code already exists.","Ett attribut med denna kod existerar redan."
"An attribute with the same code (%1) already exists.","Ett attribut med samma kod (%1) existerar redan."
"The value of Admin must be unique.","Värdet för Admin måste vara unikt."
"The value of Admin scope can't be empty.","Värdet för Admin scope kan inte vara tomt."
"You duplicated the product.","Du duplicerade produkten"
"This product doesn't exist.","Denna produkt existerar inte."
"Invalid product id. Should be numeric value greater than 0","Ogiltigt produkt-id. Bör vara ett numeriskt värde större än 0"
"A group with the same name already exists.","En grupp med samma namn existerar redan."
"Something went wrong while saving this group.","Något gick fel :) när denna grupp sparades."
"A total of %1 record(s) have been deleted.","Totalt %1 uppgift(er) har blivit borttagna."
"A total of %1 record(s) have been updated.","Ett total av %1 uppgift(er) har blivit uppdaterade."
"Something went wrong while updating the product(s) status.","Något gick fel under uppdateringen av produkt(ernas) status."
"You saved the product.","Du sparade produkten."
"SKU for product %1 has been changed to %2.","SKU för produkt %1 har ändrats till %2."
"The image cannot be removed as it has been assigned to the other image role","Bilden kan inte tas bort då den har blivit tillförd till den andra bildens roll."
"New Attribute Set","Ny attributgrupp "
"The attribute set has been removed.","Attributgruppen har blivit raderad."
"New Set","Ny grupp"
"Manage Product Sets","Redigera produktgrupper"
"Manage Attribute Sets","Redigera attributgrupper"
"This attribute set no longer exists.","Detta attribut existerar inte längre."
"You saved the attribute set.","Du sparade attributgruppen."
"Something went wrong while saving the attribute set.","Något gick fel när attributgruppen sparades."
"You cleared the comparison list.","Du rensade jämförelselistan."
"Something went wrong  clearing the comparison list.","Något gick fel när jämförelselistan rensades. "
"You removed product %1 from the comparison list.","Du tog bort produkt %1 från jämförelselistan."
"1 item","1 artikel"
"%1 items","%1 artiklar"
"Are you sure you want to remove this item from your Compare Products list?","Är du säker på att du vill ta bort objektet från Jämförelselistan?"
"Are you sure you want to remove all items from your Compare Products list?","Är du säker på att du vill ta bort alla objekt från Jämförelselistan?"
"Invalid attribute %1","Ogiltigt attribut %1"
Grid,Rutnät
List,Listvy
"Product is not loaded","Produkten är inte laddad."
"Make sure the To Date is later than or the same as the From Date.","Försäkra att Till datumet är senare eller detsamma som Från datumet."
"Something went wrong while getting the image url.","Något gick fel när bild urlen hämtades."
"Can't delete root category.","Kan inte ta bort rotkategorin."
"No layout updates","Inga layout uppdateringar"
"Products only","Endast produkter"
"Static block only","Endast statiska block"
"Static block and products","Statiska block och produkter"
"Please select a static block.","Vänligen välj ett statiskt block."
frontend_label,Frontend_märkning
"Could not save product ""%1"" with position %2 to category %3","Kunde inte spara produkt ""%1"" med position %2 till kategori %3"
"Could not save product ""%product"" with position %position to category %category","Kunde inte spara produkten ""%product"" med poistion %position till kategorin %category"
"Operation do not allow to move a parent category to any of children category","Operationen tillåter inte förflyttning till en föräldrar kategori av någon barn kategori"
"Could not move category","Kunde inte flytta kategorin"
"Could not save category: %1","Kunde inte spara kategori: %1"
"Cannot delete category with id %1","Kan inte radera kategorin med id %1"
"-- Please Select a Category --","-- Vänligen välj en kategori --"
"Grid Only","Endast Rutnät"
"List Only","Endast lista"
"Grid (default) / List","Rutnät (standard) / Lista"
"List (default) / Grid","Lista (standard) / Rutnät"
"Automatic (equalize price ranges)","Automatisk (Jämna ut pris spannet)"
"Automatic (equalize product counts)","Automatisk (jämna ut produkt count)"
Manual,Manuellt
"-- Please select --","--Vänligen välj--"
"Product Thumbnail Itself","Produktens egen Thumbnail"
"Parent Product Thumbnail","Föräldrar produktens thumbnail"
"12h AM/PM","12 timmar FM/EM"
24h,"24 timmar"
Stretch,Utvidga
Tile,"Över hela"
Top/Left,Top/Vänster
Top/Right,Top/Höger
Bottom/Left,Botten/Vänster
Bottom/Right,Botten/Höger
Center,Centrerad
"Something went wrong while saving the file(s).","Något gick fel när fil(erna) sparades."
"File can not be saved to the destination folder.","Filen kan inte sparas till målmappen."
"Unknown EAV indexer type ""%1"".","Okänd EAV indexer typ ""%1""."
"Bad value was supplied.","Ett felaktigt värde var tillhandahållt."
"Unsupported product type ""%1"".","Produkttypen ""%1"" stödjs inte."
"Please correct the category.","Vänligen rätta kategorin."
"Must be category model instance or its id.","Måste vara kategorins modell instans eller dess id."
"The attribute model is not defined.","Attributmodellen är inte definierad."
Category,Kategori
"The filter must be an object. Please set the correct filter.","Filtret måste vara ett objekt. Vänligen korrektera filtret."
"Clear Price","Rensa priset"
"%1 and above","%1 och över"
"Group price must be a number greater than 0.","Grupp priset måste vara ett nummer större än 0."
"There is no MediaGalleryEntryConverter for given type","Det finns ingen MediaGalleryEntryConverter för den här typen"
"Please enter a number 0 or greater in this field.","Skriv in en siffra, 0 eller större i detta fält."
"SKU length should be %1 characters maximum.","Artikelnumrets längd bör vara högst %1 tecken."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i fältet."
"We found a duplicate website, tier price, customer group and quantity.","Vi hittade en dubblett webbplats, tier pris, kundgrupp och kvantitet."
"Percentage value must be a number between 0 and 100.","Procentuellt värde måste vara ett tal mellan 0 och 100."
"Invalid option id %1","Ogiltigt alternativ-id %1"
"Provided Attribute set non product Attribute set.","Ditt attributset är inte ett produktattributset."
"Use config","Använda inställningar"
"Attribute Set already exists.","Attributuppsättningen finns redan."
"The option type to get group instance is incorrect.","Alternativtypen för gruppinstans är felaktig."
"Select type options required values rows.","Vald typ kräver värderader."
"Please specify date required option(s).","Vänligen ange datum."
"Please specify time required option(s).","Ange tid."
"The option instance type in options group is incorrect.","Instans alternativtypen i gruppen alternativ är felaktig."
"The product instance type in options group is incorrect.","Typ av produkt-instans i gruppen alternativ är felaktig."
"The configuration item option instance in options group is incorrect.","Konfigurationen i egenskapsgruppen är felaktig."
"The configuration item instance in options group is incorrect.","Konfigurationen i egenskapsgruppen är felaktig."
"The BuyRequest instance in options group is incorrect.","Köpkravsinstancen i inställningsgruppen är felaktig."
"The file '%1' for '%2' has an invalid extension.","Filen '%1' för '%2' har en ogiltig filextension."
"The maximum allowed image size for '%1' is %2x%3 px.","Högst tillåtna bildstorleken för '%1' är %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Filen '%1' du laddat upp är större än den %2 megabyte tillåts av vår server."
"The file '%1' is invalid. Please choose another one","Filen '%1' är ogiltigt. Vänligen välj en annan"
"File '%1' is not an image.","Filen '%1' är inte en bild."
"Some of the selected item options are not currently available.","Några av de markerade objektalternativ är ej tillgängliga."
"Invalid attribute %fieldName = %fieldValue.","Ogiltigt attribut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Önskade butik finns inte. Rad-ID: SKU = %SKU, Store-ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Ogiltigt attribut kostnad = %cost. Rad-ID: SKU = %SKU, Store-ID: %storeId."
"Could not save Prices.","Kunde inte spara priser."
"Could not delete Prices","Kunde inte ta bort priser"
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Begärd produkt existerar inte. Rad-ID: SKU = %SKU, Store-ID: %storeId, Pris från: %priceFrom, pris till: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ogiltigt attribut %label = %priceTo. Rad-ID: SKU = %SKU, Store-ID: %storeId, Pris från: %priceFrom, pris till: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ogiltigt attribut Pris = %price. Rad-ID: SKU = %SKU, Store-ID: %storeId, Pris från: %priceFrom, pris till: %priceTo."
"Could not save Tier Prices","Kunde inte spara Gruppris"
"Could not replace Tier Prices","Kunde inte ersätta Gruppris"
"Could not delete Tier Prices","Kunde inte ta bort Gruppriser"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut SKU = %SKU. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut Pris = %price. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut Pristyp = %priceType. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut Kvantitet = %qty. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut Webbplats-ID = % websiteId. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Vi hittade en dubblett webbplats, tier pris, kundgrupp och kvantitet: kundgrupp = %customerGroup, webbplats-ID = % websiteId, kvantitet = %qty. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ingen sådan enhet med Gundgrupp = %customerGroup. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produkten har inte grupppris med sådan data: customerGroupId = '%1', hemsida = %2, qty = %3"
"Something went wrong while processing the request.","Något gick fel vid bearbetning av begäran."
"Not Visible Individually","Syns inte individuellt"
"Catalog, Search","Katalog, Sök"
"Something went wrong while removing products from the websites.","Något gick fel vid borttagning av produkter från webbplatser."
"Something went wrong while adding products to websites.","Något gick fel vid tilläggning av produkter till webbplatser."
"Product with SKU '%1' is not linked to product with SKU '%2'","Produkt med artikelnummer '%1' är inte kopplad till produkten med artikelnummer '%2'"
"Invalid product data: %1","Ogiltig produktdata: %1"
"Database connection error",Databasanslutningsfel
"Database deadlock found when trying to get lock","Databas dödläge hittades när man försöker erhålla lås"
"Database lock wait timeout exceeded","Väntan för att erhålla lås för databasen överskreds"
"There are not websites for assign to product","Det finns inte webbplatser för att tilldela produkten"
"Could not assign product ""%1"" to websites ""%2""","Kunde inte tilldela produkten ""%1"" till webbplatser ""%2"""
"Could not save product ""%1"" with websites %2","Kunde inte spara produkten ""%1"" i webbplatser %2"
"We cannot determine the field name.","Vi kan inte avgöra fältnamnet."
"Do not change the scope. %1","Ändra inte omfattningen. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 implementerar inte BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Produkttypen är inte definierad för indexeraren."
"Product with SKU %1 is not linked to product with SKU %2","Produkt med artikelnummer '%1' är inte kopplad till produkten med artikelnummer '%2'"
Dropdown,Rullgardinsmeny
"Could not get extension attributes","Kunde inte få extension attribut"
message,meddelande
"Lock wait timeout","Väntan för lås överskreds"
"Advanced Pricing","Avancerad prissättning"
"Customer Group Price",Kundgruppspris
"Customer Group",Kundgrupp
"Special Price From","Specialpris från"
"Product Alerts",Produktmeddelanden
"Add Selected","Lägg till valda"
"Select Attribute","Välj attribut"
"Create New Attribute","Skapa nytt attribut"
"Customizable Options","Anpassningsbara alternativ"
"Custom options let customers choose the product variations they want.","Anpassade alternativ låter kunderna välja de produktvariationer de vill."
"Select Product","Välj produkt"
"Add Value","Lägg till värde"
"Option Type",Alternativtyp
"Max Characters","Max tecken"
"Compatible File Extensions","Kompatibla filändelser"
"Maximum Image Size","Maximal bildstorlek"
"Please leave blank if it is not an image.","Vänligen lämna tomt om det inte är en bild."
"This item has weight","Artikeln har vikt"
"This item has no weight","Det här objektet har ingen vikt"
"Set Product as New From","Ställ in produkten som ny från"
"Related Products, Up-Sells, and Cross-Sells","Relaterade produkter, merförsäljning och korsförsäljning"
"Related products are shown to customers in addition to the item the customer is looking at.","Relaterade produkter visas för kunder förutom artikeln kunden tittar på."
"Add Related Products","Lägga till relaterade produkter"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Ett merförsäljningsobjekt erbjuds till kunden som en dyrare eller högre kvalitet alternativ till den produkt som kunden tittar på."
"Add Up-Sell Products","Lägg till merförsäljningsprodukter"
"Up-Sell Products",Merförsäljningsprodukter
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Dessa ""impuls-köp"" produkter visas bredvid kundvagnen som korsförsäljer till artiklarna redan i kundvagnen."
"Add Cross-Sell Products","Lägg till korsförsäljningsprodukter"
"Cross-Sell Products",Korsförsäljnings-produkter
"Schedule Update From","Schemalägg uppdatering från"
"Product in Websites","Produkt i webbplatser"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Om din Magento-installation har flera webbplatser, kan du redigera tillämpningsområdet till att använda produkten på specifika platser."
name,namn
"Copy Data from","Kopiera data från"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Om det inte finns några anpassade föräldrakategorier, använd standard förälder-katalogen. Du kan redigera kategorins tillhörighet närsomhelst i <a href=""%1"" target=""_blank"">Produkter &gt; Kategorier</a>."
"This operation can take a long time","Denna åtgärd kan ta lång tid"
"Collapse All","Fäll ihop alla"
"Expand All","Expandera alla"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg, etc.)"
"Manage Options (Values of Your Attribute)","Hantera alternativ (värden på ditt attribut)"
"Sort Option",Sorteringsalternativ
Groups,Grupper
"Double click on a group to rename it.","Dubbelklicka på en grupp för att byta namn."
"Unassigned Attributes","Otilldelade attribut"
"A name is required.","Ett namn krävs."
"This group contains system attributes. Please move system attributes to another group and try again.","Denna grupp innehåller systemattribut. Vänligen flytta systemattribut till en annan grupp och försök igen."
"Please select a node.","Välj en nod."
"Please enter a new group name.","Ange ett nytt gruppnamn."
"An attribute group named ""/name/"" already exists.","En attributgrupp som heter ""/ namn /"" redan finns."
"Custom Options","Anpassade alternativ"
"This is a required option.","Detta är ett obligatoriskt alternativ."
"Compatible file extensions to upload","Kompatibla filändelser för uppladdning"
"Maximum image width","Maximal bildbredd"
"Maximum image height","Maximal bildhöjd"
"Maximum number of characters:","Maximalt antal tecken:"
"start typing to search template","börja skriva för att söka mall"
"Product online","Produkt online"
"Product offline","Produkt offline"
"Product online status","Produkt online-status"
"Manage Stock","Hantera lager"
"Out-of-Stock Threshold","""Slut i lager""-gräns"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagn"
"Maximum Qty Allowed in Shopping Cart","Högsta antal tillåtna i kundvagn"
"Qty Uses Decimals","Antal använder decimaler"
Backorders,Restorder
"Notify for Quantity Below","Notifiera för antal under"
"Enable Qty Increments","Aktivera antal steg"
"Qty Increments","Antal steg"
"Stock Availability",Tillgänglighet
"In Stock","I lager"
"Out of Stock","Ej i lager"
"Add Product To Websites","Lägga till produkt till webbplatser"
"Remove Product From Websites","Ta bort produkten från webbplatser"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Om du vill dölja ett objekt i katalogen eller i sökresultat, ange status ""Inaktiverad""."
"Delete Custom Option","Ta bort anpassade alternativ"
"Sort Custom Options","Anpassade sorteringsalternativ"
"Sort Custom Option","Anpassade sorteringsalternativet"
"Item Price",Artikelpris
"and above","och över"
"Delete Tier","Ta bort grupp"
"Product In Websites","Produkt i webbplatser"
"(Copy data from: %1)","(Kopiera data från: %1)"
"Browse to find or drag image here","Bläddra för att hitta eller dra bilden hit"
"Delete image","Ta bort Bild"
Hidden,Dold
Role,Roll
"Image Size",Bildstorlek
"Image Resolution",Bildupplösning
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Dölj från produktsidan"
"Allow Multiple Boxes for Shipping","Tillåt flera försändelser för frakt"
"start typing to search attribute","börja skriva för att söka attributet"
"Basic Settings","Grundläggande inställningar"
"Advanced Settings","Advancerade inställningar"
"Special Price",Specialpris
"Buy %1 for: ","Köpa %1 för: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Köp %1 för %2 varje och <strong class=""benefit""> Spara <span class=""percent tier-%3"">%4%</span></strong>"
"Buy %1 for %2 each","Köp %1 för %2 varje"
"Shop By","Handla enligt"
"Shopping Options",Shoppingalternativ
"Compare Products","Jämför produkter"
"Print This Page","Skriv ut denna sida"
"Remove Product","Ta bort produkt"
"Add to Wish List","Lägg till i önskelista"
"You have no items to compare.","Du har inga artiklar att jämföra."
"Remove This Item","Ta bort Denna Artikel"
Compare,Jämför
"Clear All","Rensa alla"
Prev,Föregående
"We can't find products matching the selection.","Vi kan inte hitta produkter som matchade urvalet."
"Learn More","Läs Mer"
"Add to Compare","Lägg till i jämför"
"We found other products you might like!","Vi hittade andra produkter du kanske gillar!"
"More Choices:","Fler val:"
"Check items to add to the cart or","Välj artiklar att lägga i varukorgen eller"
"select all","välj alla"
"Items %1-%2 of %3","Artiklar %1-%2 av %3"
"%1 Item","%1 Artikel"
"%1 Items","%1 artiklar"
Show,Visa
"Sort By","Sortera på"
"Set Ascending Direction","Sätt stigande sortering"
"Set Descending Direction","Sätt fallande sortering"
"View as","Visa som"
"More Information","Mer information"
"Warning message",Varningsmeddelande
"Configure Product","Konfigurera produkt"
OK,Ok
"Select type of option.","Välj typ av val."
"Please add rows to option.","Lägg till rader till valet."
"Choose existing category.","Välj befintlig kategori."
"Image Detail",Bildkvalitet
Adding...,"Lägger till..."
Added,Tillagd
"does not implement Storage Interface","implementerar inte lagringsgränssnitt"
"unselect all","avmarkera alla"
Inventory,Lagerstatus
"Catalog Section",Katalogdel
Small,Liten
"Product Fields Auto-Generation","Produktfält automatgenerering"
"Mask for SKU","Mall för artikelnummer"
"Use {{name}} as Product Name placeholder","Använd {{name}} som produktnamns platshållare"
"Mask for Meta Title","Mall för Meta titel"
"Mask for Meta Keywords","Mall för Meta nyckelord"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Använd {{name}} som produktnamn eller {{sku}} som artikelnummer platshållare"
"Mask for Meta Description","Mall för Meta beskrivning"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Använd {{name}} och {{description}} som platshållare för produktnamn och produktbeskrivning"
"Recently Viewed/Compared Products","Nyligen visade/jämförda produkter"
"Lifetime of products in Recently Viewed Widget","Livstid av produkter i nyligen tittat på Widget"
"Lifetime of products in Recently Compared Widget","Livstid av produkter i nyligen jämfört Widget"
"Synchronize widget products with backend storage","Synkronisera widget produkter med backend-lagring"
Storefront,Butiksvy
"List Mode",Listläge
"Products per Page on Grid Allowed Values","Produkter per sida i tabellen av tillåtna värden"
Comma-separated.,Kommaseparerad.
"Products per Page on Grid Default Value","Produkter per sida på produktkategorisidan"
"Products per Page on List Allowed Values","Produkter per sida på listan av tillåtna värden"
"Products per Page on List Default Value","Produkter per sida på listan för standardvärde"
"Use Flat Catalog Category","Använd ""Flat Catalog Category"""
"Use Flat Catalog Product","Använd ""Flat Catalog Product"""
"Product Listing Sort by","Produktnotering sortera efter"
"Allow All Products per Page","Tillåt alla produkter per sida"
"Product Image Placeholders","Produkt bildplaceholders"
"Page Title Separator","Avgränsare för sidrubrik"
"Use Canonical Link Meta Tag For Categories","Använda kanonisk länk Meta-taggen för kategorier"
"Use Canonical Link Meta Tag For Products","Använda kanonisk länk Meta-taggen för produkter"
"Catalog Price Scope","Katalogprisets omfattning"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Detta definierar basvaluta (""Valuta Setup"" > ""Valuta alternativ"" > ""Basvaluta"")."
"Category Top Navigation","Kategori övre navigeringsfältet"
"Maximal Depth",Maxdjup
"Date & Time Custom Options","Datum & tid anpassade alternativ"
"Use JavaScript Calendar","Använd JavaScript kalender"
"Date Fields Order","Datumfält ordning"
"Time Format",Tidsformat
"Year Range",Årsintervall
"Please use a four-digit year format.","Använd ett fyrsiffrigt årtalsformat."
"Top Level Category",Överkategori
"Product Info Column",Produktinformationskolumn
"Block after Info Column","Block efter informationskolumn"
"Product Flat Data","Flat produktdata"
"Reorganize EAV product structure to flat structure","Omorganisera EAV produktstrukturen till ""flat"" struktur"
